"CITY","SEX","IDADE","CANAL_VENDA","CATEGORIA","PRODUTO","PRECO","QUANTIDADE","DESCONTO_APLICADO","RENDA_ESTIMADA","ESCOLARIDADE_SCORE","ESCOLARIDADE_ROTULADA","SEASONAL_EFFECT","DATA_VENDA","ANOS","MESES","DIA_SEMANA","VALOR_TOTAL"
"BELÉM","MASCULINO",70,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",4331.42,1,0.115494626015425,3.04,0.63,"ENS MÉDIO COMP",0.7425,2015-05-24,2015,5,1,2844.64
"ANANINDEUA","FEMININO",38,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",97.87,2,0.139719108212739,1.77,0.64,"ENS MÉDIO COMP",3.19,2020-09-13,2020,9,1,537.17
"BELÉM","MASCULINO",23,"LOJA FÍSICA","ELETRÔNICOS","SMARTPHONE PREMIUM",5150.45,2,0.0162980140931904,3.28,0.65,"ENS MÉDIO COMP",3.01875,2019-03-23,2019,3,7,30589.04
"BELÉM","MASCULINO",72,"ONLINE","LIVROS","BEST-SELLER DE FICÇÃO",73.81,1,0.0739748397376388,2.94,0.72,"ENS SUPER INCOMP",2.75625,2019-06-29,2019,6,7,188.39
"BELÉM","MASCULINO",40,"ONLINE","ROUPAS","VESTIDO FLORAL FEMININO",140.98,3,0.235987538751215,2.94,0.54,"ENS MÉDIO COMP",3.9375,2020-06-20,2020,6,7,1272.33
"BELÉM","MASCULINO",52,"REVENDEDOR","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",287.85,1,0.0671922594914213,3.37,0.71,"ENS SUPER INCOMP",1.32,2016-07-18,2016,7,2,354.43
"BELÉM","FEMININO",19,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",57.55,1,0.104909334406257,2.99,0.67,"ENS MÉDIO COMP",2.3625,2022-06-08,2022,6,4,121.7
"BELÉM","FEMININO",40,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",279.38,1,0.143757745716721,3.53,0.77,"ENS SUPER COMP",3.016,2021-09-24,2021,9,6,721.48
"ANANINDEUA","FEMININO",34,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",85.41,3,0.171573759103194,2.29,0.68,"ENS SUPER INCOMP",6,2024-01-13,2024,1,7,1273.61
"ANANINDEUA","FEMININO",20,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",167.5,2,0.0873208205681294,1.53,0.64,"ENS MÉDIO COMP",3.9,2025-08-18,2025,8,2,1192.42
"BELÉM","MASCULINO",42,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",190.39,1,0.0945958364289254,3.43,0.62,"ENS MÉDIO COMP",4.0625,2022-04-01,2022,4,6,700.29
"BELÉM","FEMININO",34,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",199.91,1,0.0293472828390077,3.07,0.76,"ENS SUPER COMP",2.25,2020-02-18,2020,2,3,436.6
"ANANINDEUA","MASCULINO",20,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",3145.78,1,0.162195623153821,1.63,0.47,"ENS MÉDIO INCOMP",3.25,2025-08-05,2025,8,3,8565.53
"BELÉM","MASCULINO",22,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",4101.48,1,0.0564001091755927,2.55,0.64,"ENS MÉDIO COMP",0.585,2015-02-27,2015,2,6,2264.04
"BELÉM","MASCULINO",21,"REVENDEDOR","ROUPAS","VESTIDO FLORAL FEMININO",484.62,1,0.0594239325448871,3.04,0.58,"ENS MÉDIO COMP",0.92,2016-12-08,2016,12,5,419.36
"ANANINDEUA","MASCULINO",51,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",56.77,1,0.0568408721825108,1.94,0.54,"ENS MÉDIO COMP",5.625,2023-04-03,2023,4,2,301.18
"BELÉM","MASCULINO",50,"LOJA FÍSICA","ELETRÔNICOS","SMARTPHONE PREMIUM",4555.91,2,0.0914036615658551,3.02,0.57,"ENS MÉDIO COMP",3.045,2019-09-28,2019,9,7,25209.45
"BELÉM","FEMININO",36,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",171.08,1,0.0601783059956506,2.99,0.7,"ENS SUPER INCOMP",3.25,2020-08-14,2020,8,6,522.55
"BELÉM","MASCULINO",55,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",32.94,2,0.0524138501379639,2.82,0.54,"ENS MÉDIO COMP",2.835,2022-10-26,2022,10,4,176.98
"ANANINDEUA","MASCULINO",56,"LOJA FÍSICA","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",88.02,1,0.0702322984812781,2.39,0.61,"ENS MÉDIO COMP",2.875,2022-03-01,2022,3,3,235.28
"BELÉM","FEMININO",30,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",120.82,3,0.0588213574141264,2.95,0.73,"ENS SUPER INCOMP",1.5525,2017-03-08,2017,3,4,529.62
"BELÉM","MASCULINO",42,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",104.83,1,0.0980433770921081,2.99,0.65,"ENS MÉDIO COMP",1.155,2016-06-05,2016,6,1,109.21
"BELÉM","FEMININO",23,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",50.52,2,0.122761088889092,3.28,0.74,"ENS SUPER INCOMP",0.464,2015-09-17,2015,9,5,41.13
"ANANINDEUA","FEMININO",54,"REVENDEDOR","LIVROS","LIVRO TÉCNICO/ACADÊMICO",91.91,1,0.138103706361726,2.32,0.62,"ENS MÉDIO COMP",3.7125,2020-05-10,2020,5,1,294.09
"ANANINDEUA","MASCULINO",29,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",112.35,1,0.249371682619676,1.67,0.5,"ENS MÉDIO INCOMP",1.98,2021-02-07,2021,2,1,166.98
"BELÉM","MASCULINO",56,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",199.28,1,0.170935105858371,2.91,0.59,"ENS MÉDIO COMP",6.12,2023-11-27,2023,11,2,1011.12
"ANANINDEUA","MASCULINO",20,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",129.67,1,0.244079343881458,2.06,0.54,"ENS MÉDIO COMP",2,2022-01-27,2022,1,5,196.04
"BELÉM","FEMININO",18,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",171.81,2,0.060724893854931,2.44,0.65,"ENS MÉDIO COMP",1.26,2019-02-07,2019,2,5,406.67
"BELÉM","FEMININO",49,"REVENDEDOR","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",275.97,1,0.0579801940638572,2.7,0.65,"ENS MÉDIO COMP",0.55,2015-07-21,2015,7,3,142.98
"BELÉM","FEMININO",41,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",292.12,1,0.24090910833329,2.76,0.74,"ENS SUPER INCOMP",1.155,2018-06-03,2018,6,1,256.12
"ANANINDEUA","MASCULINO",39,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",38.06,3,0.142324017733336,2.31,0.58,"ENS MÉDIO COMP",3.7125,2023-02-19,2023,2,1,363.56
"BELÉM","FEMININO",57,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",70.71,1,0.0865447040228173,2.33,0.81,"ENS SUPER COMP",2.3625,2017-06-24,2017,6,7,152.59
"ANANINDEUA","FEMININO",36,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",48.92,4,0.14316001618281,2.21,0.7,"ENS SUPER INCOMP",1.485,2017-07-05,2017,7,4,248.98
"ANANINDEUA","FEMININO",71,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",224.38,1,0.0147412473522127,1.94,0.78,"ENS SUPER COMP",1.8225,2017-05-17,2017,5,4,402.9
"BELÉM","FEMININO",31,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",95.91,2,0.233476653788239,3.42,0.76,"ENS SUPER COMP",1.701,2017-10-04,2017,10,4,250.11
"ANANINDEUA","MASCULINO",61,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",40.51,2,0.0582607950689271,2.31,0.51,"ENS MÉDIO COMP",3.25,2020-01-17,2020,1,6,247.97
"BELÉM","FEMININO",29,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",471.15,1,0.0388191809458658,3.07,0.59,"ENS MÉDIO COMP",2.88,2024-02-01,2024,2,5,1304.24
"BELÉM","FEMININO",26,"ONLINE","ROUPAS","VESTIDO FLORAL FEMININO",225.25,1,0.166610189108178,3.82,0.68,"ENS SUPER INCOMP",0.9,2018-02-27,2018,2,3,168.95
"BELÉM","FEMININO",69,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",51.37,3,0.208460732595995,2.57,0.78,"ENS SUPER COMP",2.268,2017-10-16,2017,10,2,276.66
"BELÉM","MASCULINO",55,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",102.92,1,0.244683531858027,3.19,0.64,"ENS MÉDIO COMP",1.088,2018-11-01,2018,11,5,84.58
"ANANINDEUA","FEMININO",23,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",193.64,1,0.098296382278204,2.46,0.75,"ENS SUPER INCOMP",1.7325,2017-06-11,2017,6,1,302.5
"ANANINDEUA","MASCULINO",65,"ONLINE","ROUPAS","VESTIDO FLORAL FEMININO",145.99,1,0.232584996474907,2.5,0.67,"ENS MÉDIO COMP",4.42,2025-11-04,2025,11,3,495.19
"ANANINDEUA","FEMININO",28,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",157.56,2,0.013125513237901,2.18,0.7,"ENS SUPER INCOMP",0.81,2015-05-18,2015,5,2,251.9
"BELÉM","FEMININO",48,"REVENDEDOR","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",245.81,1,0.0680229972908273,3.34,0.75,"ENS SUPER INCOMP",1.725,2017-03-28,2017,3,3,395.18
"BELÉM","MASCULINO",49,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",62.62,1,0.202946907514706,3.14,0.7,"ENS SUPER INCOMP",2.4,2021-01-25,2021,1,2,119.79
"BELÉM","MASCULINO",27,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",132.07,1,0.102332416013815,3.01,0.61,"ENS MÉDIO COMP",3.78,2023-10-12,2023,10,5,448.14
"BELÉM","FEMININO",39,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",454.98,1,0.118939617644064,3.49,0.73,"ENS SUPER INCOMP",1.8,2021-08-25,2021,8,4,721.56
"BELÉM","FEMININO",28,"REVENDEDOR","ROUPAS","VESTIDO FLORAL FEMININO",173.19,1,0.0276882073935121,3.38,0.73,"ENS SUPER INCOMP",2.86,2021-07-23,2021,7,6,481.61
"BELÉM","MASCULINO",58,"REVENDEDOR","ELETRÔNICOS","SMARTPHONE PREMIUM",4472.44,1,0.0528448920045048,3.37,0.57,"ENS MÉDIO COMP",1.638,2016-10-28,2016,10,6,6938.72
"BELÉM","FEMININO",63,"REVENDEDOR","LIVROS","BEST-SELLER DE FICÇÃO",80.82,1,0.076880733310245,3.33,0.69,"ENS SUPER INCOMP",3.15,2023-06-22,2023,6,5,235.01
"BELÉM","FEMININO",39,"ONLINE","LIVROS","BEST-SELLER DE FICÇÃO",56.23,2,0.238854326121509,3.27,0.81,"ENS SUPER COMP",1.62,2016-05-09,2016,5,2,138.67
"SANTA BÁRBARA","FEMININO",74,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",212.34,2,0.0101814196724445,1.28,0.66,"ENS MÉDIO COMP",1.392,2018-09-10,2018,9,2,585.14
"BELÉM","FEMININO",65,"REVENDEDOR","ELETRÔNICOS","SMARTPHONE PREMIUM",5471.49,2,0.155497843516059,3.25,0.7,"ENS SUPER INCOMP",3.4125,2022-06-24,2022,6,6,31536.18
"BELÉM","MASCULINO",54,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",295.35,1,0.0674671976827085,2.64,0.64,"ENS MÉDIO COMP",4.11125,2025-03-02,2025,3,1,1132.34
"BELÉM","FEMININO",52,"LOJA FÍSICA","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",77.29,3,0.117412754152901,2.77,0.77,"ENS SUPER COMP",0.9,2018-01-24,2018,1,4,184.18
"BELÉM","FEMININO",53,"LOJA FÍSICA","LIVROS","BEST-SELLER DE FICÇÃO",92.33,2,0.0890471361111849,2.75,0.73,"ENS SUPER INCOMP",1.25,2016-04-12,2016,4,3,210.27
"ANANINDEUA","FEMININO",35,"LOJA FÍSICA","BRINQUEDOS","BONECA COLECIONÁVEL",90.16,1,0.130488575119525,2.26,0.73,"ENS SUPER INCOMP",2.32,2020-09-03,2020,9,5,181.88
"MARITUBA","MASCULINO",57,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",491.11,1,0.218168692523614,2.15,0.61,"ENS MÉDIO COMP",2.5,2020-01-07,2020,1,3,959.91
"ANANINDEUA","MASCULINO",39,"REVENDEDOR","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",49.97,2,0.123833161909133,2.69,0.61,"ENS MÉDIO COMP",2.6,2021-08-27,2021,8,6,227.67
"ANANINDEUA","MASCULINO",20,"ONLINE","LIVROS","BEST-SELLER DE FICÇÃO",58.67,1,0.211598024284467,2.21,0.5,"ENS MÉDIO INCOMP",4.14,2024-03-13,2024,3,4,191.5
"BELÉM","MASCULINO",25,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",37.88,1,0.121618323028088,2.91,0.55,"ENS MÉDIO COMP",2.61,2020-09-23,2020,9,4,86.84
"BELÉM","FEMININO",17,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",186.3,2,0.116423698384315,2.7,0.6,"ENS MÉDIO COMP",3.9325,2025-07-20,2025,7,1,1294.66
"BELÉM","FEMININO",60,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",44.59,2,0.132855421407148,2.67,0.72,"ENS SUPER INCOMP",2.142,2019-11-20,2019,11,4,165.65
"ANANINDEUA","MASCULINO",21,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",38.52,1,0.104627636387013,2.57,0.55,"ENS MÉDIO COMP",0.65,2015-01-16,2015,1,6,22.42
"ANANINDEUA","FEMININO",34,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",68.21,3,0.150595042249188,2.31,0.72,"ENS SUPER INCOMP",1.35,2017-01-11,2017,1,4,234.65
"BELÉM","MASCULINO",44,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",37.66,1,0.15458333529532,3.43,0.56,"ENS MÉDIO COMP",3.9,2025-08-04,2025,8,2,124.17
"BELÉM","FEMININO",31,"REVENDEDOR","ELETRÔNICOS","SMARTPHONE PREMIUM",3278.91,2,0.111424588263035,3.41,0.73,"ENS SUPER INCOMP",1.035,2018-03-28,2018,3,4,6031.07
"ANANINDEUA","MASCULINO",67,"LOJA FÍSICA","BRINQUEDOS","BONECA COLECIONÁVEL",90.93,1,0.107184821148403,2.2,0.63,"ENS MÉDIO COMP",1.5525,2017-03-01,2017,3,4,126.04
"BELÉM","MASCULINO",38,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",29.3,3,0.0724266638513655,3,0.53,"ENS MÉDIO COMP",6.1425,2023-10-27,2023,10,6,500.82
"BELÉM","FEMININO",52,"ONLINE","LIVROS","BEST-SELLER DE FICÇÃO",47.59,2,0.10111685898155,2.68,0.63,"ENS MÉDIO COMP",4.32,2024-05-09,2024,5,5,369.6
"BELÉM","MASCULINO",50,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",186.38,1,0.206749438680708,3.34,0.57,"ENS MÉDIO COMP",3.7125,2023-02-12,2023,2,1,548.88
"ANANINDEUA","FEMININO",55,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",40.21,1,0.125798991681077,2.34,0.75,"ENS SUPER INCOMP",1.75,2019-08-06,2019,8,3,61.52
"BELÉM","FEMININO",29,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",112.88,1,0.0989243577746674,2.93,0.66,"ENS MÉDIO COMP",2,2022-08-11,2022,8,5,203.43
"BELÉM","FEMININO",68,"REVENDEDOR","BRINQUEDOS","BONECA COLECIONÁVEL",95.68,3,0.116324339145795,2.98,0.8,"ENS SUPER COMP",2.75,2021-04-25,2021,4,1,697.54
"BELÉM","MASCULINO",38,"LOJA FÍSICA","ROUPAS","VESTIDO FLORAL FEMININO",270.69,1,0.0975224054837599,3.33,0.65,"ENS MÉDIO COMP",1.89,2019-02-11,2019,2,2,461.71
"BELÉM","MASCULINO",33,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",339.52,1,0.249848848860711,2.7,0.56,"ENS MÉDIO COMP",0.9,2018-08-22,2018,8,4,229.22
"ANANINDEUA","MASCULINO",25,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",108.69,2,0.138919639033265,1.94,0.53,"ENS MÉDIO COMP",5.625,2023-08-05,2023,8,7,1052.9
"BELÉM","FEMININO",28,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",189.9,3,0.195893676020205,2.91,0.67,"ENS MÉDIO COMP",5.3625,2023-07-28,2023,7,6,2456.56
"MARITUBA","MASCULINO",34,"REVENDEDOR","ROUPAS","CALÇA JEANS MASCULINA",167.56,3,0.0896794204693288,2.2,0.61,"ENS MÉDIO COMP",3.264,2021-11-29,2021,11,2,1493.61
"BELÉM","FEMININO",33,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",245.57,1,0.0230737427575514,3.35,0.65,"ENS MÉDIO COMP",5.04,2024-06-24,2024,6,2,1209.12
"BELÉM","MASCULINO",32,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",115.06,2,0.0967918127309531,3.43,0.64,"ENS MÉDIO COMP",3.7125,2023-07-05,2023,7,4,771.63
"MARITUBA","MASCULINO",58,"LOJA FÍSICA","ALIMENTOS","CAFÉ GOURMET (250G)",40.85,2,0.101597676011734,1.98,0.63,"ENS MÉDIO COMP",0.6,2015-01-19,2015,1,2,44.04
"BELÉM","MASCULINO",36,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",108.94,1,0.117447654157877,2.74,0.61,"ENS MÉDIO COMP",4.95,2023-07-03,2023,7,2,475.92
"ANANINDEUA","MASCULINO",26,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",42.95,3,0.0794756254646927,2.49,0.59,"ENS MÉDIO COMP",2.475,2020-07-01,2020,7,4,293.56
"BELÉM","MASCULINO",34,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",347.1,1,0.0879929781844839,2.91,0.6,"ENS MÉDIO COMP",3.48,2020-09-07,2020,9,2,1101.62
"BELÉM","FEMININO",57,"ONLINE","ROUPAS","CALÇA JEANS MASCULINA",130.9,2,0.0805763250216842,2.76,0.81,"ENS SUPER COMP",4.125,2023-01-01,2023,1,1,992.91
"BELÉM","MASCULINO",28,"ONLINE","ELETRÔNICOS","FONE DE OUVIDO BLUETOOTH",312.38,1,0.233687172504142,2.63,0.57,"ENS MÉDIO COMP",2.1,2019-01-14,2019,1,2,502.7
"BELÉM","FEMININO",33,"REVENDEDOR","ALIMENTOS","CAFÉ GOURMET (250G)",46,1,0.0435497037461028,2.78,0.71,"ENS SUPER INCOMP",2.1,2021-06-01,2021,6,3,92.39
"BELÉM","MASCULINO",23,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",104.05,1,0.156540480069816,2.69,0.58,"ENS MÉDIO COMP",1.856,2021-09-09,2021,9,5,162.89
"BELÉM","MASCULINO",24,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",3970,1,0.154134147102013,2.9,0.6,"ENS MÉDIO COMP",2.31,2019-07-22,2019,7,2,7757.18
"BELÉM","FEMININO",28,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",73.18,1,0.0677945721894503,3.37,0.72,"ENS SUPER INCOMP",3.2,2024-08-08,2024,8,5,218.3
"ANANINDEUA","MASCULINO",34,"LOJA FÍSICA","ROUPAS","VESTIDO FLORAL FEMININO",160.66,1,0.113925649812445,2.87,0.59,"ENS MÉDIO COMP",2.875,2020-12-08,2020,12,3,409.28
"BELÉM","FEMININO",33,"ONLINE","ROUPAS","VESTIDO FLORAL FEMININO",265.93,2,0.0889722943771631,3.41,0.75,"ENS SUPER INCOMP",2.3625,2019-02-23,2019,2,7,1144.72
"BELÉM","FEMININO",34,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",389.87,1,0.248886416712776,3.1,0.76,"ENS SUPER COMP",1.1,2018-08-26,2018,8,1,322.12
"MARITUBA","MASCULINO",32,"REVENDEDOR","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",361.01,2,0.14726014373824,2.45,0.59,"ENS MÉDIO COMP",0.69,2015-03-16,2015,3,2,424.83
"BELÉM","MASCULINO",24,"LOJA FÍSICA","BRINQUEDOS","BONECA COLECIONÁVEL",92.77,2,0.0290853881090879,2.65,0.63,"ENS MÉDIO COMP",6,2024-08-17,2024,8,7,1080.86
"BELÉM","MASCULINO",39,"REVENDEDOR","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",83.03,3,0.185514070224017,3.34,0.66,"ENS MÉDIO COMP",2.475,2020-07-29,2020,7,4,502.13
"BELÉM","MASCULINO",25,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",91.47,1,0.112929276702926,2.87,0.69,"ENS SUPER INCOMP",5.70375,2025-05-09,2025,5,6,462.8
"ANANINDEUA","FEMININO",55,"ONLINE","ALIMENTOS","CAFÉ GOURMET (250G)",49.74,1,0.168329310743138,2.55,0.64,"ENS MÉDIO COMP",4.64,2024-09-24,2024,9,3,191.94
"BELÉM","MASCULINO",29,"LOJA FÍSICA","LIVROS","LIVRO TÉCNICO/ACADÊMICO",116.54,3,0.0157820148207247,3.49,0.67,"ENS MÉDIO COMP",1.386,2016-10-09,2016,10,1,476.93
"BELÉM","FEMININO",27,"LOJA FÍSICA","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",222.07,1,0.118113337252289,3.11,0.75,"ENS SUPER INCOMP",2.73,2025-06-12,2025,6,5,534.64
"BELÉM","FEMININO",31,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",316.65,1,0.082057497696951,2.79,0.63,"ENS MÉDIO COMP",1,2016-04-14,2016,4,5,290.67
"BELÉM","MASCULINO",45,"ONLINE","LIVROS","LIVRO TÉCNICO/ACADÊMICO",199.64,2,0.159843258559704,3.49,0.8,"ENS SUPER COMP",2.75,2022-01-30,2022,1,1,922.51
"BELÉM","MASCULINO",62,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",45.46,2,0.152489250339568,3.15,0.61,"ENS MÉDIO COMP",4.4,2024-01-14,2024,1,1,339.04
"MARITUBA","FEMININO",23,"LOJA FÍSICA","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",102.4,1,0.100709950537421,1.3,0.59,"ENS MÉDIO COMP",1.215,2017-02-08,2017,2,4,111.89
"BELÉM","FEMININO",47,"REVENDEDOR","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",81.05,2,0.0364251986192539,3.18,0.63,"ENS MÉDIO COMP",4.42,2025-11-25,2025,11,3,690.38
"BELÉM","FEMININO",30,"ONLINE","ALIMENTOS","CESTA DE FRUTAS ORGÂNICAS",76.73,1,0.112378492718562,3.1,0.68,"ENS SUPER INCOMP",4.225,2025-01-10,2025,1,6,287.75
"BELÉM","FEMININO",33,"ONLINE","BRINQUEDOS","BONECA COLECIONÁVEL",64.13,2,0.0754009750671685,3.38,0.72,"ENS SUPER INCOMP",6.96,2024-09-07,2024,9,7,825.38
"MARITUBA","FEMININO",43,"REVENDEDOR","ROUPAS","VESTIDO FLORAL FEMININO",269.09,2,0.190526563781314,2.33,0.74,"ENS SUPER INCOMP",2.75,2020-08-02,2020,8,1,1198.02
"BELÉM","FEMININO",71,"ONLINE","BRINQUEDOS","KIT DE CONSTRUÇÃO ROBÓTICA",311.18,1,0.207304482907057,2.85,0.83,"ENS SUPER COMP",1.008,2016-10-27,2016,10,5,248.64
"BELÉM","MASCULINO",47,"ONLINE","ELETRÔNICOS","SMARTPHONE PREMIUM",3933.23,1,0.24796406631358,2.64,0.66,"ENS MÉDIO COMP",6.9,2024-12-21,2024,12,7,20409.72
"BELÉM","FEMININO",43,"LOJA FÍSICA","ROUPAS","CALÇA JEANS MASCULINA",155.48,2,0.0360255834413692,2.83,0.83,"ENS SUPER COMP",2.639,2019-09-06,2019,9,6,791.06
